Réf. Waytex;Description;CodeBarre;Prix Public H.T;Tarif Rev1;REM;Tarif Rev2;Sorecop;Deee
33516;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 3.00m;3700616804890;7,90 €;2,00 €;10;1,80 €;;0,02 €
33517;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 3.00m;3700616804906;7,90 €;2,00 €;10;1,80 €;;0,02 €
33518;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 3.00m;3700616804913;7,90 €;2,00 €;10;1,80 €;;0,02 €
33519;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 3.00m;3700616804920;7,90 €;2,00 €;10;1,80 €;;0,02 €
33520;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 3.00m;3700616804937;7,90 €;2,00 €;10;1,80 €;;0,02 €
33521;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 5.00m;3700616804944;9,00 €;2,80 €;10;2,52 €;;0,02 €
33522;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 5.00m;3700616804951;9,00 €;2,80 €;10;2,52 €;;0,02 €
33523;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 5.00m;3700616804968;9,00 €;2,80 €;10;2,52 €;;0,02 €
33524;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 5.00m;3700616804975;9,00 €;2,80 €;10;2,52 €;;0,02 €
33525;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 5.00m;3700616804982;9,00 €;2,80 €;10;2,52 €;;0,02 €
33526;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 10.00m;3700616804999;16,00 €;4,20 €;10;3,78 €;;0,02 €
33527;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 10.00m;3700616804630;16,00 €;4,20 €;10;3,78 €;;0,02 €
33528;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 10.00m;3700616805002;16,00 €;4,20 €;10;3,78 €;;0,02 €
33529;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 10.00m;3700616805019;16,00 €;4,20 €;10;3,78 €;;0,02 €
33530;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 10.00m;3700616805026;16,00 €;4,20 €;10;3,78 €;;0,02 €
33531;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 10.00m;3700616805637;16,00 €;4,20 €;10;3,78 €;;0,02 €
33535;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 15.00m;3700616805644;22,00 €;7,90 €;10;7,11 €;;0,02 €
33536;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 15.00m;3700616805651;22,00 €;7,90 €;10;7,11 €;;0,02 €
33537;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 15.00m;3700616805668;22,00 €;7,90 €;10;7,11 €;;0,02 €
33538;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 15.00m;3700616805675;22,00 €;7,90 €;10;7,11 €;;0,02 €
33539;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 15.00m;3700616805293;22,00 €;7,90 €;10;7,11 €;;0,02 €
33540;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 15.00m;3700616805309;22,00 €;7,90 €;10;7,11 €;;0,02 €
33544;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 20.00m;3700616805316;25,00 €;9,90 €;10;8,91 €;;0,02 €
33545;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 20.00m;3700616805323;25,00 €;9,90 €;10;8,91 €;;0,02 €
33546;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 20.00m;3700616805330;25,00 €;9,90 €;10;8,91 €;;0,02 €
33547;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 20.00m;3700616805347;25,00 €;9,90 €;10;8,91 €;;0,02 €
33548;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 20.00m;3700616805354;25,00 €;9,90 €;10;8,91 €;;0,02 €
33549;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 20.00m;3700616805361;25,00 €;9,90 €;10;8,91 €;;0,02 €
33552;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP gris 25.00m;3700616806184;32,00 €;13,90 €;10;12,51 €;;0,02 €
33560;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 0.50m;3700616806160;4,30 €;0,80 €;10;0,72 €;;0,02 €
33561;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP orange 0.50m;3700616806177;4,30 €;0,80 €;10;0,72 €;;0,02 €
33562;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP violet 0.50m;3700616805941;4,30 €;0,80 €;10;0,72 €;;0,02 €
33563;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 1.00m;3700616805958;5,00 €;1,05 €;10;0,95 €;;0,02 €
33564;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP orange 1.00m;3700616805934;5,00 €;1,05 €;10;0,95 €;;0,02 €
33565;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP violet 1.00m;3700616805927;5,00 €;1,05 €;10;0,95 €;;0,02 €
33566;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 2.00m;3700616806252;6,40 €;1,60 €;10;1,44 €;;0,02 €
33567;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP orange 2.00m;3700616806269;6,40 €;1,60 €;10;1,44 €;;0,02 €
33568;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP violet 2.00m;3700616806245;6,40 €;1,60 €;10;1,44 €;;0,02 €
33569;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 3.00m;3700616805545;7,90 €;2,00 €;10;1,80 €;;0,02 €
33570;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP orange 3.00m;3700616805903;7,90 €;2,00 €;10;1,80 €;;0,02 €
33571;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP violet 3.00m;3700616806238;7,90 €;2,00 €;10;1,80 €;;0,02 €
33572;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 5.00m;3700616806153;9,00 €;2,80 €;10;2,52 €;;0,02 €
33573;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP orange 5.00m;3700616806016;9,00 €;2,80 €;10;2,52 €;;0,02 €
33574;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP violet 5.00m;3700616805965;9,00 €;2,80 €;10;2,52 €;;0,02 €
33584;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 1.50m;3700616805712;5,90 €;1,45 €;10;1,31 €;;0,02 €
33585;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 1.50m;3700616805729;5,90 €;1,45 €;10;1,31 €;;0,02 €
33586;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 1.50m;3700616805736;5,90 €;1,45 €;10;1,31 €;;0,02 €
33587;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 1.50m;3700616805743;5,90 €;1,45 €;10;1,31 €;;0,02 €
33588;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 1.50m;3700616805750;5,90 €;1,45 €;10;1,31 €;;0,02 €
33589;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 1.50m;3700616805767;5,90 €;1,45 €;10;1,31 €;;0,02 €
33592;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP bleu 7.50m;3700616805781;14,00 €;3,60 €;10;3,24 €;;0,02 €
33593;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP jaune 7.50m;3700616805798;14,00 €;3,60 €;10;3,24 €;;0,02 €
33594;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP rouge 7.50m;3700616805804;14,00 €;3,60 €;10;3,24 €;;0,02 €
33595;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP vert 7.50m;3700616805231;14,00 €;3,60 €;10;3,24 €;;0,02 €
33596;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP noir 7.50m;3700616805248;14,00 €;3,60 €;10;3,24 €;;0,02 €
33597;Cordon réseau RJ45 Cat. 6 100% cuivre blindé FTP blanc 7.50m;3700616805255;14,00 €;3,60 €;10;3,24 €;;0,02 €
33710;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 0.50m;3700616806689;7,00 €;1,05 €;10;0,95 €;;0,02 €
33711;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP bleu 0.50m;3700616806696;7,00 €;1,05 €;10;0,95 €;;0,02 €
33712;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP jaune 0.50m;3700616806702;7,00 €;1,05 €;10;0,95 €;;0,02 €
33713;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP rouge 0.50m;3700616806719;7,00 €;1,05 €;10;0,95 €;;0,02 €
33714;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP vert 0.50m;3700616806726;7,00 €;1,05 €;10;0,95 €;;0,02 €
33715;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP noir 0.50m;3700616806733;7,00 €;1,05 €;10;0,95 €;;0,02 €
33716;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP blanc 0.50m;3700616812871;7,00 €;1,05 €;10;0,95 €;;0,02 €
33720;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 1.00m;3700616806740;8,00 €;1,20 €;10;1,08 €;;0,02 €
33721;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP bleu 1.00m;3700616806757;8,00 €;1,20 €;10;1,08 €;;0,02 €
33722;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP jaune 1.00m;3700616806764;8,00 €;1,20 €;10;1,08 €;;0,02 €
33723;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP rouge 1.00m;3700616806771;8,00 €;1,20 €;10;1,08 €;;0,02 €
33724;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP vert 1.00m;3700616806788;8,00 €;1,20 €;10;1,08 €;;0,02 €
33725;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP blanc 1.00m;3700616812888;8,00 €;1,20 €;10;1,08 €;;0,02 €
33726;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP noir 1.00m;3700616806795;8,00 €;1,20 €;10;1,08 €;;0,02 €
33730;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 2.00m;3700616806801;10,00 €;1,80 €;10;1,62 €;;0,02 €
33731;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP bleu 2.00m;3700616806818;10,00 €;1,80 €;10;1,62 €;;0,02 €
33732;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP jaune 2.00m;3700616806825;10,00 €;1,80 €;10;1,62 €;;0,02 €
33733;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP rouge 2.00m;3700616806832;10,00 €;1,80 €;10;1,62 €;;0,02 €
33734;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP vert 2.00m;3700616806849;10,00 €;1,80 €;10;1,62 €;;0,02 €
33735;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP blanc 2.00m;3700616802895;10,00 €;1,80 €;10;1,62 €;;0,02 €
33736;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP noir 2.00m;3700616806856;10,00 €;1,80 €;10;1,62 €;;0,02 €
33740;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 3.00m;3700616806863;12,00 €;2,30 €;10;2,07 €;;0,02 €
33741;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP bleu 3.00m;3700616806870;12,00 €;2,30 €;10;2,07 €;;0,02 €
33742;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP jaune 3.00m;3700616806887;12,00 €;2,30 €;10;2,07 €;;0,02 €
33743;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP rouge 3.00m;3700616806894;12,00 €;2,30 €;10;2,07 €;;0,02 €
33744;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP vert 3.00m;3700616806900;12,00 €;2,30 €;10;2,07 €;;0,02 €
33745;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP blanc 3.00m;3700616802901;12,00 €;2,30 €;10;2,07 €;;0,02 €
33746;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP noir 3.00m;3700616806917;12,00 €;2,30 €;10;2,07 €;;0,02 €
33750;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 5.00m;3700616806924;16,00 €;3,65 €;10;3,29 €;;0,02 €
33751;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP bleu 5.00m;3700616806931;16,00 €;3,65 €;10;3,29 €;;0,02 €
33752;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP jaune 5.00m;3700616806948;16,00 €;3,65 €;10;3,29 €;;0,02 €
33753;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP rouge 5.00m;3700616806955;16,00 €;3,65 €;10;3,29 €;;0,02 €
33754;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP vert 5.00m;3700616806962;16,00 €;3,65 €;10;3,29 €;;0,02 €
33755;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP blanc 5.00m;;16,00 €;3,65 €;10;3,29 €;;0,02 €
33756;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP noir 5.00m;3700616806979;16,00 €;3,65 €;10;3,29 €;;0,02 €
33760;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 7.50m;3700616806986;23,00 €;5,80 €;10;5,22 €;;0,02 €
33770;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 10.00m;3700616806993;27,00 €;6,50 €;10;5,85 €;;0,02 €
33771;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP bleu 10.00m;3700616807006;27,00 €;6,50 €;10;5,85 €;;0,02 €
33772;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP jaune 10.00m;3700616807013;27,00 €;6,50 €;10;5,85 €;;0,02 €
33773;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP rouge 10.00m;3700616807020;27,00 €;6,50 €;10;5,85 €;;0,02 €
33774;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP vert 10.00m;3700616807037;27,00 €;6,50 €;10;5,85 €;;0,02 €
33775;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP blanc 10.00m;3700616812918;27,00 €;6,50 €;10;5,85 €;;0,02 €
33776;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP noir 10.00m;3700616807044;27,00 €;6,50 €;10;5,85 €;;0,02 €
33780;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 15.00m;3700616807051;35,00 €;9,90 €;10;8,91 €;;0,02 €
33790;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 20.00m;3700616807105;42,00 €;13,10 €;10;11,79 €;;0,02 €
33795;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP gris 30.00m;3700616807150;64,00 €;22,00 €;10;19,80 €;;0,02 €
33810;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 0.50m;3700616807167;7,50 €;1,40 €;10;1,26 €;;0,02 €
33811;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 0.50m;3700616807174;7,50 €;1,40 €;10;1,26 €;;0,02 €
33812;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 0.50m;3700616807181;7,50 €;1,40 €;10;1,26 €;;0,02 €
33813;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 0.50m;3700616807198;7,50 €;1,40 €;10;1,26 €;;0,02 €
33814;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 0.50m;3700616807204;7,50 €;1,40 €;10;1,26 €;;0,02 €
33815;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH Noir 0.50m;;7,50 €;1,40 €;10;1,26 €;;0,02 €
33820;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 1.00m;3700616807211;8,80 €;1,70 €;10;1,53 €;;0,02 €
33821;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 1.00m;3700616807228;8,80 €;1,40 €;10;1,26 €;;0,02 €
33822;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 1.00m;3700616807235;8,80 €;1,70 €;10;1,53 €;;0,02 €
33823;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 1.00m;3700616807242;8,80 €;1,70 €;10;1,53 €;;0,02 €
33824;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 1.00m;3700616807259;8,80 €;1,70 €;10;1,53 €;;0,02 €
33825;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH Noir 1.00m;;8,80 €;1,70 €;10;1,53 €;;0,02 €
33830;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 2.00m;3700616807266;11,00 €;2,50 €;10;2,25 €;;0,02 €
33831;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 2.00m;3700616807273;11,00 €;2,50 €;10;2,25 €;;0,02 €
33832;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 2.00m;3700616807280;11,00 €;2,50 €;10;2,25 €;;0,02 €
33833;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 2.00m;3700616807297;11,00 €;2,50 €;10;2,25 €;;0,02 €
33834;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 2.00m;3700616807303;11,00 €;2,50 €;10;2,25 €;;0,02 €
33835;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH Noir 2.00m;;11,00 €;2,50 €;10;2,25 €;;0,02 €
33840;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 3.00m;3700616807310;13,00 €;3,20 €;10;2,88 €;;0,02 €
33841;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 3.00m;3700616807327;13,00 €;3,20 €;10;2,88 €;;0,02 €
33842;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 3.00m;3700616807334;13,00 €;3,20 €;10;2,88 €;;0,02 €
33843;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 3.00m;3700616807341;13,00 €;3,20 €;10;2,88 €;;0,02 €
33844;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 3.00m;3700616807358;13,00 €;3,20 €;10;2,88 €;;0,02 €
33845;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH Noir 3.00m;;13,00 €;3,20 €;10;2,88 €;;0,02 €
33850;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 5.00m;3700616807365;17,00 €;4,20 €;10;3,78 €;;0,02 €
33851;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 5.00m;3700616807372;17,00 €;4,20 €;10;3,78 €;;0,02 €
33852;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 5.00m;3700616807389;17,00 €;4,20 €;10;3,78 €;;0,02 €
33853;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 5.00m;3700616807396;17,00 €;4,20 €;10;3,78 €;;0,02 €
33854;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 5.00m;3700616807402;17,00 €;4,20 €;10;3,78 €;;0,02 €
33855;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH Noir 5.00m;;17,00 €;4,20 €;10;3,78 €;;0,02 €
33870;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 10.00m;3700616807419;29,00 €;7,20 €;10;6,48 €;;0,02 €
33871;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 10.00m;3700616807426;29,00 €;7,20 €;10;6,48 €;;0,02 €
33872;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 10.00m;3700616807433;29,00 €;7,20 €;10;6,48 €;;0,02 €
33873;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 10.00m;3700616807440;29,00 €;7,20 €;10;6,48 €;;0,02 €
33874;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 10.00m;3700616807457;29,00 €;7,20 €;10;6,48 €;;0,02 €
33880;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 15.00m;3700616807464;37,00 €;10,60 €;10;9,54 €;;0,02 €
33890;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 20.00m;3700616807518;45,00 €;14,50 €;10;13,05 €;;0,02 €
33895;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 30.00m;3700616807563;68,00 €;24,50 €;10;22,05 €;;0,02 €
33900;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH gris 1.50m;3700616819726;8,80 €;1,70 €;10;1,53 €;;0,02 €
33901;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH bleu 1.50m;3700616819733;8,80 €;1,70 €;10;1,53 €;;0,02 €
33902;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH jaune 1.50m;3700616819740;8,80 €;1,70 €;10;1,53 €;;0,02 €
33903;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH rouge 1.50m;3700616819757;8,80 €;1,70 €;10;1,53 €;;0,02 €
33904;Cordon réseau RJ45 Cat. 6a 100% cuivre double blindé S/FTP LSOH vert 1.50m;3300616819764;8,80 €;1,70 €;10;1,53 €;;0,02 €
34030;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 1.00m;3700616809901;16,50 €;5,10 €;10;4,59 €;;0,02 €
34031;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 2.00m;3700616809918;17,70 €;5,30 €;10;4,77 €;;0,02 €
34032;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 3.00m;3700616809925;20,10 €;5,60 €;10;5,04 €;;0,02 €
34033;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 5.00m;3700616809673;23,80 €;5,90 €;10;5,31 €;;0,02 €
34034;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 10.00m;3700616809680;27,80 €;7,50 €;10;6,75 €;;0,02 €
34036;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 15.00m;3700616809703;30,60 €;9,90 €;10;8,91 €;;0,02 €
34037;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/SC 20.00m;3700616809710;33,30 €;14,50 €;10;13,05 €;;0,02 €
34050;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 1.00m;3700616809727;27,40 €;5,10 €;10;4,59 €;;0,02 €
34051;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 2.00m;3700616809734;28,90 €;5,30 €;10;4,77 €;;0,02 €
34052;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 3.00m;3700616809741;31,50 €;5,60 €;10;5,04 €;;0,02 €
34053;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 5.00m;3700616809758;33,20 €;5,90 €;10;5,31 €;;0,02 €
34054;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 10.00m;3700616809765;40,20 €;7,50 €;10;6,75 €;;0,02 €
34055;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 15.00m;3700616809772;42,70 €;9,90 €;10;8,91 €;;0,02 €
34056;Jarretière optique monomode OS2 9/125 duplex Zipp jaune LC/LC 20.00m;3700616809789;45,80 €;14,50 €;10;13,05 €;;0,02 €
34110;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 1.00m;3700616810150;26,70 €;5,10 €;10;4,59 €;;0,02 €
34111;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 2.00m;3700616810167;27,90 €;5,30 €;10;4,77 €;;0,02 €
34112;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 3.00m;3700616810174;30,10 €;5,60 €;10;5,04 €;;0,02 €
34113;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 5.00m;3700616810181;33,90 €;5,90 €;10;5,31 €;;0,02 €
34114;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 10.00m;3700616809932;38,80 €;7,00 €;10;6,30 €;;0,02 €
34115;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 15.00m;3700616809949;41,00 €;9,00 €;10;8,10 €;;0,02 €
34116;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC/LC 20.00m;3700616809956;43,90 €;12,50 €;10;11,25 €;;0,02 €
34120;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 1.00m;3700616809963;20,10 €;5,50 €;10;4,95 €;;0,02 €
34121;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 2.00m;3700616809970;21,50 €;6,00 €;10;5,40 €;;0,02 €
34122;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 3.00m;3700616809987;22,60 €;6,50 €;10;5,85 €;;0,02 €
34123;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 5.00m;3700616809994;23,70 €;7,00 €;10;6,30 €;;0,02 €
34124;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 10.00m;3700616810006;26,70 €;9,00 €;10;8,10 €;;0,02 €
34125;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 15.00m;3700616810013;29,60 €;11,50 €;10;10,35 €;;0,02 €
34126;Jarretière optique monomode OS2 9/125 duplex Zipp jaune SC-APC/SC-APC 20.00m;3700616810020;32,60 €;14,50 €;10;13,05 €;;0,02 €
34200;Jarretière optique multimode OM1 62.5/125 duplex Zipp orange ST/ST 1.00m;3700616810037;12,00 €;5,50 €;10;4,95 €;;0,02 €
34201;Jarretière optique multimode OM1 62.5/125 duplex Zipp orange ST/ST 2.00m;3700616810044;13,90 €;5,80 €;10;5,22 €;;0,02 €
34202;Jarretière optique multimode OM1 62.5/125 duplex Zipp orange ST/ST 3.00m;3700616810051;16,10 €;6,20 €;10;5,58 €;;0,02 €
34203;Jarretière optique multimode OM1 62.5/125 duplex Zipp orange ST/ST 5.00m;3700616810327;20,10 €;6,70 €;10;6,03 €;;0,02 €
